gene,logFC,FDR
XRCC6P2,0.0234185774537271,0.902619494625539
GLS,0.0486011302229271,0.772734555989972
GNRH1,-0.183056653043728,0.607211829174445
RP11_75C10.6,-0.428237467062041,0.431507540011138
KCNS3,-0.877582838807461,0.00886818682050455
RP11_1082L8.4,0.0411467220295486,0.921445473808495
MIR199A2,-0.200914375107337,0.587489186273281
RACGAP1,-0.186489424924639,0.617441985723548
AURKAIP1,0.126951522210582,0.145102185153096
AKAP12,0.548534909124315,0.012403272970563
MBD1,-0.0215772452988814,0.833775874203838
GNA11,0.0401429130576623,0.792363856482396
GPATCH2,-0.0665398612007819,0.48650036076941
C1orf198,-0.183038425516833,0.71788361767082
SFRP1,-2.26932702135724,0.0348643516601911
CTD_2630F21.1,0.061759189156813,0.903749525404892
RP11_767N6.7,-0.208256228916324,0.122743327313343
AP001432.14,-0.549732931470085,0.0946090866520818
FAM122B,-0.0870760392055413,0.689263038460675
VAMP5,0.0495157718145393,0.742834861376355
LINC00856,-0.236851266888029,0.477386352567273
XXbac_BPG299F13.17,-0.496472244818093,0.085497550915055
JADE2,0.0995816682164412,0.719161264112005
TNKS2,0.016972094212409,0.882398294541556
AC093838.4,-0.238341028200414,0.232311432314229
SHROOM2,0.0844189063503381,0.756734877569774
CTB_33O18.1,-0.153413273835364,0.725891232750554
EFCAB11,0.169933166378435,0.485815633903943
SYVN1,-0.0566707697786877,0.795318976305159
NEK2,-0.270375664820768,0.625138702074449
SLC5A9,-0.0276683393345769,0.966941055131751
VDAC1,0.11745103321176,0.258270881544274
AJUBA,0.166972079855277,0.579475272958475
FAM162A,0.212337393174331,0.179495892587069
CD47,0.0988971210365475,0.335133353007494
SLC10A7,0.120310079265376,0.453021694750536
RBM38,-0.15479429394765,0.421591779838294
SLC25A30,-0.0285868984521121,0.886980811935135
RP11_320M2.1,-0.133627153926189,0.577153922613322
RCOR3,-0.29082309490017,0.0135120615220069
TLE1,0.612989232043617,0.000110100502967321
AC079922.3,0.20270356571492,0.360315975784179
BLOC1S3,-0.0820036530516801,0.63310665262083
UBE2T,-0.342167021888023,0.0479391996601812
HOXA11_AS,-0.437334231779345,0.413460687374613
TUBGCP3,-0.255187895165201,0.0226298212515755
C4orf22,0.493173639688895,0.138437725588457
TAF3,-0.115581111545293,0.319646085752413
PKD1P6,-0.255747447523539,0.106694679405606
JDP2,0.414646351325931,0.0134645642395143
E2F4,0.131408148382707,0.242681837300935
NOSIP,-0.122973559213585,0.505635225939699
AC006128.2,-0.375194413241314,0.383654701389689
KPNA2,-0.0700992190613033,0.74696392119926
GPRIN3,0.0101672368074344,0.990415273704723
DNM2,0.0526281250285987,0.56115015437368
PDCD1LG2,0.707831267205709,0.0255668555146621
NXF1,-0.15963499651782,0.246218813257957
ATP6AP1L,-0.538877805350319,0.00142285259066162
ST3GAL2,0.128510965941447,0.157328685646032
GNAZ,-0.743867660228055,0.199952827621403
MOCS1,-0.120186196537845,0.273835425691869
GALNT5,0.209926985306232,0.603805450920443
RNASEH1P2,0.0974594268070347,0.736226148272266
ASNS,0.570439099655717,0.0476573950475101
SHOC2,0.13494610504449,0.159365246411866
CEP83,-0.190840851722264,0.280458690252804
RPL19,0.118267678326987,0.0752483042266968
RP11_507K2.2,-0.115176805466398,0.836462444812727
MAPK7,0.438693782894756,0.0299881250795953
AC005253.2,0.0559938406096035,0.910919449119666
LINC00152,0.270914610398527,0.21571128536459
PSMA3_AS1,-0.105505451014226,0.379165375004057
PLSCR4,-0.360829651057916,0.19735084850518
CEP68,-0.53890399061959,0.0111787949356283
HOXB2,0.271631433421626,0.202068334153609
GNB2L1,0.0523492603098371,0.581580070798862
SNORD104,-0.00338550867188292,0.991504634505533
PROCA1,-0.629488962247616,0.0549811265819968
HIPK1_AS1,-0.433168458926194,0.210572403817473
C1orf226,0.38694470143336,0.270309853684493
SPTBN5,-0.358922435074511,0.242651508783289
FAM65B,-0.940529892915062,0.506793519479797
AC068831.6,-0.550661530913696,0.127866571125064
PLCL1,-1.264964305695,0.0928844766862662
SPATA2,0.0971958838037672,0.631338556752314
STARD3NL,0.292918861302491,0.00179339565436536
VPS18,0.254654355442402,0.00351977839767664
LRRFIP2,-0.169243203290841,0.128427975647441
NOV,-0.0842775561902521,0.894186819093754
PARP3,0.114695673452363,0.519459757594471
PMVK,0.151042815293588,0.319087169232514
TFPT,0.33628656487412,0.0163194359098166
STK4,0.281295092895085,0.00378416829585747
CTBP1,0.0539753013019469,0.569670067507417
EML6,-0.911487257806613,0.0177271996266645
CHADL,-0.96857763618782,0.366560666142683
MTCH2,0.126871294753136,0.144401252117072
RP11_152N13.5,-0.0628106116423385,0.803628588669381
TMX2P1,0.169346409293253,0.387022936626535
MCUR1,0.0592918457748693,0.627698552729938
RP11_229D13.3,-0.350340831914483,0.331033839970953
MRE11A,-0.217326333548742,0.0776851817428326
ATP11B,0.03828786364108,0.795222637267413
CDK16,-0.02525996484773,0.859936796350453
DNAJC19,-0.0491367426013465,0.682937758211294
TBCAP1,-0.0919676273202378,0.722878025717853
METTL3,-0.0809418843948105,0.572464388293748
RP1_30M3.5,-0.385793911878479,0.224439416499125
CCDC82,0.0296308337688441,0.799362145562613
AC008277.1,-0.520260479282631,0.243626528463432
ITGA10,0.0698067724526809,0.817916326914508
GLTSCR1L,-0.168091544346759,0.158543858186875
GS1_124K5.4,-0.0703480493702897,0.82352315839125
ACOT2,-0.257133016589643,0.0809445767007642
CHGB,-0.438857303133487,0.553213163718305
WSCD1,-1.20062950693555,0.124077657450723
BBS2,-0.135731491063485,0.27093503188366
ZFC3H1,-0.106944085737749,0.433939036128606
DIS3L,0.0494990383471711,0.67572780841991
SH3D21,0.398804561287588,0.0912158641320232
HAUS7,-0.204063014806345,0.533917581514402
HNRNPA2B1,-0.170939284498878,0.0480669410126087
SPIN4,0.182089118686739,0.403933812325346
GPS2,0.0493827798535205,0.873123378957848
CKAP2,-0.251219368209322,0.0751670763059277
SCHIP1,-0.0315738787764737,0.906165855482822
PNRC1,-0.113254483425619,0.414078095743972
USP7,-0.023288820218658,0.806257131868919
DRAM2,-0.177986302722105,0.221494275529789
SHISA4,-0.55607412730502,0.21836948328887
FBXO17,-0.0368517812869404,0.844997928388085
FAM103A1,0.148095501317582,0.545830794960318
TSEN15,0.166126240577518,0.24270331716605
ADH5,0.0758812755866875,0.513710194792316
SRA1,0.264090575866873,0.00262787765169984
ACTR2,0.266018013446103,0.0453067896766879
UBIAD1,0.00640788532736961,0.97199208432237
NUDT16L1,0.0424492213234245,0.848383669879571
TXNDC11,0.20300507015812,0.072650401593281
PLOD3,0.120302407726183,0.563180530918008
TAB3,0.0175176298135274,0.891434879882236
TAP2,-0.0966960283071723,0.490335599235786
SLC26A6,-0.286543690003586,0.147814188448887
MTMR1,-0.256575198989055,0.356915071067553
EIF1AD,0.325504462145378,0.00792528966676233
RAB30_AS1,-0.325633956726741,0.074230029387064
SERGEF,-0.0630755646507476,0.702568418915177
ZNF510,-0.103796356438511,0.166958885577073
AC018647.3,-1.20080497227607,0.230639868015728
NUCB2,-0.153263594991333,0.245364683461116
MAP1A,-0.255749923588217,0.533132296366565
SF3B6,0.10640103235418,0.277736240297383
URB1,-0.111621719259022,0.662445000363375
ALG1L6P,-0.177527976637862,0.639366083860726
HNRNPA1P49,-0.252809787668912,0.432023650683742
BTN2A1,0.0534968412177702,0.580286616172335
COL12A1,-0.0764458675672389,0.68751553043357
RP11_309L24.2,-0.228607273161786,0.510301865310087
POSTN,-0.195265469222171,0.775089710818988
STK25,0.0763223357487871,0.541717283821037
BRD4,-0.179070019149691,0.331481527442784
LA16c_431H6.7,-0.1640456983899,0.661535161824516
RP1_140K8.5,0.239360726924588,0.672859628102922
RP11_545I5.3,-0.535761323104293,0.0107069123866047
EIF2AK3,0.101837168545282,0.589503208203406
PPP1R2,0.0480234228342839,0.654928978764124
RP11_351I24.3,0.172375009934535,0.513583442781027
KCTD3,-0.25140010315864,0.0465322053841236
ZNF468,0.214953396575256,0.123691419003835
ARF4,0.396754331981604,0.00146807441453451
ABCA13,-0.545818378208812,0.475065543968579
MTR,0.0362673610482859,0.707535050475856
HMGN1,0.0719881425440003,0.705292624032501
PLEKHA8,0.448762207358627,0.000130327220696983
ZDHHC17,-0.141344475753318,0.314087097978452
EIF2S2P4,0.265796226408214,0.0947822985809529
AGPAT4_IT1,-0.273052752456859,0.345503413781002
RP11_94H18.1,-0.0484172043000704,0.933275661816377
PROSC,-0.0551302580908202,0.734155936090651
RP11_484D2.2,-0.623631379256358,0.197874155429667
RP11_267M23.1,-0.0316468859357203,0.874746802895388
SNRNP200,-0.074136844526444,0.356546290333128
MIDN,-0.241668038175831,0.218678196371545
PPP4R1L,-0.615351447999281,0.00722702195892074
CDK1,-0.535469024916294,0.195700156523428
DDX20,0.0702529323528747,0.61347588476528
HIST1H2AC,0.129493411514144,0.286031403329765
PINX1,-0.0474559859581216,0.769215429905894
REPIN1,-0.10102567159572,0.686073048244849
MAPKBP1,0.0688434851206752,0.589546554011684
C15orf41,0.267340432453221,0.0249994961074578
GTPBP6,-0.00801124228307691,0.95457357894893
GNG11,0.33545071461842,0.158571462388392
ATP5HP4,0.159916776682822,0.810467086420506
BAIAP2L1,-0.121526431904828,0.598528083830675
RP11_92K2.2,0.121197184510716,0.536478745104451
MFSD1,0.222678800694534,0.0562969993385306
MTHFD1,-0.0436807759242703,0.755679931939033
ANXA9,-0.568381189312558,0.115909695350937
DHRSX,0.0898149073482874,0.532630278058283
BAD,0.137736952829736,0.398268179946158
SLC6A17,-0.570070841249227,0.506845220900434
ADGRB2,-0.343889225280024,0.197468821398191
PPP1R9B,0.138761220734091,0.462199901735387
CADM3,1.63908368590567,0.189515244262432
RP11_286H14.4,-0.218370352759593,0.30682037967644
SPDYA,-0.347279729880505,0.124815223388557
CYBA,-0.937698598054909,0.162613570281093
RP11_481J2.4,-0.266185619344192,0.360256152817299
SHC3,-0.889138931009434,0.0430543403512122
ZNF253,0.242137142734709,0.416733647264001
MAPK14,-0.0626944618495776,0.486226005199208
RP11_479G22.8,0.00787649323381493,0.98074128181619
NDUFB2,-0.0129817848038047,0.962702849695631
LINC01301,-0.362191155578026,0.285154676474616
JOSD1,0.121146579394461,0.220093907118669
KDM4B,-0.0467360426394362,0.731119317349654
BLZF1,0.193311478440583,0.0911986006586747
PELP1,0.0833456114491472,0.560309019646275
TBK1,0.0163201493346763,0.867392105812896
MEIS3P2,0.971455685673695,0.0499303163230535
HIRIP3,-0.0757219899675675,0.65964770520669
ANKHD1_EIF4EBP3,-0.32262701887529,0.394692398900114
DYNC2H1,-0.137766481637385,0.389510677522548
ALKBH3,0.110341583693571,0.319052004232113
CEP89,0.166894299350214,0.176143831611376
RP11_234G16.5,0.0586136707494196,0.926742564744177
GOLGA1,-0.0955421687327091,0.307789211019069
HSBP1,0.249841682724938,0.0171095611973818
SUB1,0.230744558402506,0.0297810717190958
ATP9B,-0.0736746593609031,0.668324667994671
HNRNPA3P6,0.0539569554102884,0.73633015995798
RP11_342M1.3,-0.268638285982313,0.411597448559271
TMEM51,-0.467354463581705,0.395381226438741
VKORC1L1,0.118718328454758,0.249147431675551
MLYCD,-0.174698261151954,0.172009628539193
C14orf166,0.211833178013646,0.0735019287568384
COMMD5,0.15095461080139,0.10421408340617
FAM69B,0.0328922149751876,0.962149114857696
ARNT2,0.626434960899753,0.0127049242924113
BIRC5,-0.17048590649012,0.739734362966156
RPL5P1,0.096545104589639,0.580840630639009
RP5_1198O20.4,0.0103566860453286,0.985568343928404
AP1G1,0.0692447233562393,0.449498967655436
BMPER,0.59076047688867,0.0928844766862662
SOX11,0.011350437460133,0.965029402698477
PAFAH1B3,-0.246338025801332,0.300699441072461
TRIM25,0.156772802750437,0.423573277866214
AMD1,0.0546741100437922,0.765824101204752
NCBP2,0.133979813135125,0.168477529432676
DSTNP1,0.275625361720183,0.187018855423283
NFATC3,0.0472935082319098,0.774977917465859
RP11_274B21.3,-0.120357028611005,0.610282390744552
MANSC1,0.537009393928767,0.15335483182485
SMAD7,0.22980689813654,0.593817196853459
SERP1,0.387042072957136,0.00753136366313354
SF3A3P2,-0.0299515875499222,0.951888954254244
HLA_F,-1.63763762281425,0.0310236098452903
MRPL51,0.107331018689729,0.472130686529469
AK3,-0.0401213681874193,0.673115937522218
PCNPP5,0.0415732799072027,0.920094882238678
AKR1B1,-0.272212654415991,0.205749140334153
KCTD21_AS1,-0.201733552554146,0.44149089594172
SYNCRIP,0.0378281016129497,0.829281309465244
PDCD4_AS1,0.12746390537799,0.649005570308554
LCNL1,-1.65235582467431,0.0107374889203351
RP11_212I21.4,-0.149278515345387,0.780407033282833
MYL12A,0.189957852085723,0.171652713254701
LTBR,0.0825928172348798,0.627739027560803
DLK2,1.06649301864281,4.4518782011793e-06
RP4_605O3.4,-0.167784117631048,0.488703798321933
RP11_823P9.3,-0.682723183030056,0.337593247903043
HSF4,-0.278435919719443,0.367073246572503
KLHL29,0.0745225537239894,0.844997928388085
ARL6IP6,0.0719916367972903,0.482760131860573
ECH1,-0.179465264139664,0.149898296365469
WBP1L,0.116462888693238,0.474967863474144
RPS3AP6,0.0632914249619336,0.727489740715086
TXNDC15,0.151645642539617,0.366631931773182
OSBPL2,0.0347811334714077,0.704857557115644
PPP1R14BP3,0.146596344407129,0.25532750762072
HNRNPU,0.0899099158725623,0.273918435327937
ITGA11,0.540837091071559,0.00517450113158445
DBH_AS1,-0.0212653538729791,0.943685062202495
EBPL,0.310751176260129,0.049067898171116
PEBP1P2,-0.00473572338415416,0.984744644494392
SEC14L1,0.198121756326747,0.021206909303701
RHOQ,-0.0902342883260247,0.396203406211158
OSGEPL1,-0.0931330565072826,0.511259560166166
AC083843.1,-0.530288953830067,0.0769104081182354
NRN1,1.12962729039106,0.0886958642376654
FN3KRP,-0.00312495241858795,0.979407372248394
S100A10,0.925946018926548,0.127148934771675
CCDC15,0.141063942753827,0.542774528991231
EHD1,0.221842328194639,0.301350626877746
C5orf56,-0.111319947541551,0.802869076817493
RP11_146F11.1,0.0410955862638724,0.917265597359663
USF2,-0.0264344794245464,0.848379825098525
MAN2A2,-0.212296832126792,0.189515244262432
FANCM,-0.133892305092954,0.278445781661564
C19orf66,0.0439129501264799,0.846055324344234
HTATIP2,-0.204253674596532,0.675389490284962
KAZALD1,0.109648312000771,0.71612812208705
NDUFS4,-0.105988486973754,0.513710194792316
ZNF585A,0.236876515428046,0.103008324926563
RP11_63E9.1,-0.872842300583964,0.0658647526998079
C11orf68,0.0887895690968427,0.689094411804946
RPS7,0.0772908286086942,0.458851001652136
CENPO,0.0748201691530847,0.742834861376355
AP5M1,0.0749380862546504,0.511864169792419
KCTD16,0.915333331989623,0.00341313256326159
GFOD1,0.382746512751215,0.174415782225642
CYB5D2,-0.152948353249158,0.148850433744808
STARD13,-0.00256484747218068,0.985568343928404
RP11_585P4.6,0.161381076332517,0.511760833377022
COX6A1,0.299112050688962,0.16441539766543
CELF2_AS1,-0.845361150350733,0.0997546614940939
RPS11,0.115889560872794,0.390272920984661
EXOC7,0.0294311014745307,0.874679591403461
RP11_456J20.1,-0.363179410780241,0.427308011433568
FAM91A1,0.152356916847265,0.121958791358875
SERAC1,-0.0641309084017449,0.744928762234773
UBAP1,-0.0127326020930595,0.920609531606474
TRPM4,-0.0974432446400411,0.644663876101584
NPAS2,0.0615626635997444,0.838848169772725
RP11_452L6.6,0.294184086246661,0.463014732083458
RP3_510D11.4,-0.0232988248029334,0.972991681663281
ERVK3_1,-0.262285698139228,0.347840979955784
BLOC1S5,0.0565859169822349,0.650059456110309
RAB43P1,0.509479172507342,0.124949649263365
ZNF347,0.472234960279287,0.0107711777672282
STRA13,0.235451160875944,0.0324125300830277
TMEM258,0.00971739702284388,0.960639100738415
TRPA1,-0.212385011609318,0.682211870526296
TMCC2,-1.16440794563496,0.0944997353876787
PTPRK,0.197009279126129,0.205749140334153
MARCH2,0.30986689275115,0.0279210908651147
ZNF554,-0.293467580626363,0.0249994961074578
ZNF45,0.0560049789619758,0.405160422625911
SLC9A6,-0.0218550890505973,0.898625114502822
POLK,-0.0344079491385554,0.764717146022965
HIGD1AP14,-0.261552106560045,0.455859715483298
ZNF286B,-0.302443946455103,0.344459656269686
U1,-0.0460773374747171,0.914910169746048
TMEM198,-0.141483882012731,0.627698552729938
DPM1,0.0742692826881315,0.676379805305233
CDKN2AIPNL,-0.00875526566483366,0.948016832041766
FBXO33,0.227649748037576,0.120029318958211
ERCC5,0.0162823910109646,0.921572234342944
ZNF195,0.119895334918691,0.433953585479069
CAPG,0.728556134327352,0.234487878694502
TBC1D20,0.0732914847455311,0.336164345805073
CENPCP1,-0.0929215561201266,0.72091804487788
FRMPD1,-0.500525565549742,0.593372491531764
TAPBP,0.200281230761952,0.162291591898504
DNAJC24,-0.0835601403807558,0.286114149981521
RAD51,0.149129480844968,0.62649707390579
PAN3,-0.221789050157276,0.0121425306846172
ZNF418,-0.358826095293963,0.600358455184109
RCAN3,-0.09259969431842,0.847371439506318
TACO1,0.0320746600824789,0.795222637267413
CHP1,-0.120936023671581,0.138365385890399
TRIM68,0.0565483614767696,0.706557177143956
ABCA11P,-0.302463799385006,0.342161146792149
PNPT1,0.0984049787613622,0.559203150162463
FMNL2,-0.276909750503403,0.391394756124148
FAM43A,-0.620889946815567,0.38994742708789
FGF13,-0.43045925223874,0.204047147234578
EIF4G1,0.172701782267891,0.119144207340893
GBF1,0.116071805792991,0.393021441131258
RP11_405O10.2,-0.496967008702792,0.0383947668876595
FAM111B,0.978928688046701,0.115867609461537
TPK1,-0.261956646509108,0.467765181208757
FAM65C,-0.309846916250669,0.482488823213655
ZNF513,0.0358305194236487,0.808362718862382
FUT11,0.274415915683671,0.0562266094383757
AXIN2,-0.410722042223592,0.262122069552295
RP11_798M19.3,-0.572083518004848,0.0395467370528419
C6orf62,-0.00902181824893753,0.940719090683045
LDLR,0.258375449586671,0.302181238681707
OSTCP4,0.334103983241586,0.0533958889078996
POLA2,-0.0907635455213591,0.650459923470385
SNORD116_18,-0.0801325565653319,0.599718343480364
AC016716.1,0.0143428526442821,0.971230444331232
MEIS3,0.117600033171929,0.832572087668635
C7orf43,0.124787339875894,0.496750781653778
TIMM8BP2,-0.0535750354015539,0.869631911349037
MCMDC2,-0.242658561718358,0.300583721498388
CDKN2D,-0.339799718438398,0.107292774945351
PPTC7,-0.306926548130489,0.200528192151052
CBLB,-0.359179941258334,0.00323809422022384
ZNF410,-0.284682232137288,0.197745274050463
ATPIF1,0.254334758754062,0.155292787569538
RP5_1021I20.5,-0.305027218147252,0.380616272064783
SKIL,0.149773773953565,0.159419431384913
ABHD3,-0.16261733800736,0.436090599082478
CUL4B,0.0484554361485012,0.790620610389411
RP11_357H14.16,-0.773872761915683,0.0904392819836376
XPNPEP3,0.18384517630687,0.0805342965333176
FLCN,-0.175638812275402,0.115299958249654
NPTX2,0.334963286268621,0.325041433397186
MEX3C,0.0816801341917686,0.439069880777154
MIS18A,0.0466605664563184,0.804874303593923
TPCN1,-0.472719908179118,0.0834545837467164
PDLIM5,-0.0551355598586081,0.823165245240293
LMO3,0.347714696892334,0.319979638589327
COPG2,0.000896317695868217,0.995533190196848
SRP19,0.307116249722645,0.151081656286404
RP11_158M2.3,-0.898127249616702,0.0265017050059865
XRCC6BP1,-0.0345701511733263,0.907925228649995
METAP1D,-0.109089126039192,0.554478556993472
FRMD6,0.707851793502972,9.09789746875908e-05
MROH8,-0.640032351688415,0.0695505491295337
RP1_95L4.4,-0.0447796272061978,0.872490769689945
TCEB2,0.518274459864375,0.0379090057933138
DDHD2,0.00699169994069972,0.955096670659665
GPR160,-0.133771105601267,0.758844998573731
SLC35D1,-0.166588861333584,0.408607390233931
TESK2,-0.807868783524391,0.000110100502967321
UCK2,0.223422390859209,0.142346130909394
NAP1L1,0.315177198098797,0.0188626245560189
ZNF189,-0.0199165540775595,0.844365953352
RP11_384K6.6,-0.213834350456807,0.672684210154612
RP5_1159O4.2,-0.592750937014656,0.0262935593837661
ATP8B4,-0.247880181424059,0.625757975319303
CAV3,-0.572984094263722,0.00351977839767664
CARM1,-0.0760821532883441,0.660558584406241
PCA3,-1.28460300678515,0.0498833399687477
MRFAP1,0.112251712795929,0.391533556899074
ZNF239,0.447023837590038,0.0238302245080005
BOP1,0.0129634649826993,0.964260177281733
C1orf131,0.0306531858527293,0.777624676075996
NPM1P18,0.216541090041165,0.504261884725067
XKR8,0.0431602968944967,0.864185900532299
CWC25,-0.0604398273108528,0.586340316104501
PFN4,-0.336509673932862,0.226488290644074
DNAJB4,0.203610317008673,0.417976843999417
DGKA,0.014232738890294,0.964705640800402
ANKEF1,-0.851110872409934,0.115909695350937
CRYZL1,-0.0967955510246405,0.446165084170688
RP1_159A19.3,0.419629070185145,0.256319187936851
FZR1,-0.102679723232864,0.405238289584162
FOSL1,0.336613728557018,0.277422514808564
RALY,0.0735622653222954,0.482476148886444
RP11_178H8.7,-0.225906624151075,0.331590616626901
RP11_230F18.5,-0.279585314849505,0.28340747866316
PDHA1,-0.00870325259945697,0.930211256214751
ZNF137P,0.020432202980315,0.9496085020155
MCM7,0.252064405630079,0.139317352201939
FAM63B,0.0864905708040044,0.482124890263056
ZNF737,0.686451499291242,0.00351977839767664
C8orf4,-1.23585897069299,0.0301638319297
NXPE3,0.119314447161278,0.170514253958603
MRPL24,0.0907211471511224,0.458763357346231
NEU3,-0.0608126776817632,0.499217772255537
CTB_63M22.1,-0.0114155764118705,0.95166309997595
CLSTN3,0.0310164927483134,0.93175946707685
PRTG,-0.214044795821023,0.168477529432676
QRICH2,-0.535101871259184,0.00152207509408184
TNFRSF10D,0.862060702278791,0.000212047531736344
AMER1,-0.177499112527916,0.595088413093327
HOXD3,-1.05146719612123,0.442261146286711
ACD,0.00247541613513627,0.991504634505533
AC000120.7,-0.0798039695433011,0.897741333315671
RP11_766F14.2,-1.81860021867679,0.0496010468541652
TMX4,-0.0263795595610852,0.917257473754522
PDDC1,0.0731694487950888,0.56802399921514
SSPN,-0.465949321331669,0.288683983618535
PIPOX,-0.465433607156523,0.302069751952715
CDIPT,-0.00909405898842662,0.969833116013142
SAR1A,0.241387405580524,0.0424810892528225
VPS16,-0.014133703491491,0.933158938723545
RER1,0.202711573273942,0.0314847360449888
LSMEM1,-0.343866726263939,0.292347469505251
AHNAK,0.18448023820654,0.216233688743249
ZC3HAV1L,0.613001112218011,0.00270540405290134
CEP104,-0.110200401906944,0.135115111602471
TUBB2A,0.530115883811514,0.0486276177701418
HIST3H2A,-1.7526718103701,0.0257794629218518
RP1_30M3.6,-0.481423175563549,0.0695264037902507
C9orf170,-0.1999264162022,0.565454995973117
RN7SL648P,-0.57320285701891,0.287285122632051
PLXNB1,-0.626578795799394,0.139002653996598
PIP5K1C,-0.0617337947334824,0.748040756149419
TRIM46,0.166716216458034,0.730545988528047
SH3PXD2A,-0.442414757210369,0.0574461913460321
HMGCL,0.0649483803905628,0.663470827888566
NPC2,0.0252119640448151,0.927602058086322
KIAA0020,0.0689270933024298,0.758844998573731
MBTD1,-0.452477648737695,0.00855704044896501
MPV17L2,0.237407722274845,0.0916495411722408
U3,0.980119035982115,0.106874512923447
HMGN1P38,0.199751712351279,0.34077960085906
RPL10,0.0677235589024129,0.814523632241122
SMARCE1,-0.0418894142297672,0.690701593188701
PIGQ,-0.0752287880151935,0.558783652534295
GGA3,0.050256406590629,0.77413164550551
ZFYVE19,0.0199181440615173,0.927602058086322
